Date,Tournament,Name1,Rank1,Wins1,Losses1,surfaceWins1,surfaceLosses1,bestOfWins1,bestOfLosses1,tournamentWins1,tournamentLosses1,Gap1,Length1,tbWins1,tbLoses1,deciderWins1,deciderLosses1,Odds1,Name2,Rank2,Wins2,Losses2,surfaceWins2,surfaceLosses2,bestOfWins2,bestOfLosses2,tournamentWins2,tournamentLosses2,Gap2,Length2,tbWins2,tbLoses2,deciderWins2,deciderLosses2,Odds2,h2h1,h2h2,Upset,Year
2021-02-08,Australian Open,Raonic M.,14.0,278,130,189,89,76,25,26,8,93.0,8245.0,222,133,6,4,1.01,Coria F.,92.0,8,11,2,4,3,2,0,0,5.0,2478.0,9,6,1,0,26.0,0,0,0.0,2021
2021-02-08,Australian Open,Mannarino A.,36.0,180,197,118,132,28,31,4,8,6.0,2445.0,108,134,5,5,1.66,Novak D.,98.0,10,26,4,15,2,7,0,2,105.0,1337.0,8,18,1,1,2.2,0,0,0.0,2021
2021-02-08,Australian Open,Monfils G.,11.0,240,132,160,76,59,27,17,8,105.0,5260.0,146,101,8,1,2.3,Ruusuvuori E.,86.0,8,11,8,9,1,2,0,0,5.0,2671.0,5,9,1,0,1.61,0,0,1.0,2021
2021-02-08,Australian Open,Millman J.,39.0,81,97,60,65,19,22,6,6,88.0,2259.0,59,74,2,4,1.4,Moutet C.,71.0,22,33,12,15,6,9,0,2,2.0,3079.0,23,15,1,1,3.0,0,0,1.0,2021
2021-02-08,Australian Open,Opelka R.,38.0,47,45,43,33,4,8,1,3,4.0,1825.0,56,51,1,9,1.06,Lu Y.,1009.0,0,1,0,1,0,0,0,0,8.0,344.0,0,1,0,0,10.0,0,0,0.0,2021
2021-02-08,Australian Open,Wawrinka S.,18.0,280,133,181,85,94,26,29,7,3.0,3315.0,210,117,9,1,1.08,Sousa P.,107.0,8,16,1,4,0,2,0,1,6.0,2287.0,5,8,0,0,8.0,0,0,0.0,2021
2021-02-08,Australian Open,Gombos N.,89.0,12,27,9,20,3,6,0,1,7.0,1038.0,10,12,0,1,2.2,Bolt A.,166.0,9,18,8,14,3,5,3,4,3.0,2745.0,8,12,2,7,1.66,0,0,1.0,2021
2021-02-08,Australian Open,Nishioka Y.,58.0,58,66,54,50,9,18,5,5,96.0,2478.0,32,34,3,9,1.36,Martinez P.,87.0,9,13,2,4,3,4,1,1,6.0,1150.0,7,8,0,0,3.2,0,0,1.0,2021
2021-02-08,Australian Open,Fritz T.,31.0,94,96,67,67,14,17,4,4,3.0,2645.0,68,63,3,9,1.14,Ramos-Vinolas A.,46.0,141,154,45,71,20,24,3,6,5.0,2048.0,83,116,6,3,5.5,1,0,0.0,2021
2021-02-08,Australian Open,Fucsovics M.,55.0,67,73,43,43,14,14,7,3,6.0,1912.0,47,43,1,7,1.16,Polmans M.,126.0,3,9,2,7,2,4,1,2,7.0,684.0,5,4,1,1,5.0,0,0,0.0,2021
2021-02-08,Australian Open,Thiem D.,3.0,286,145,135,87,71,26,16,7,78.0,16095.0,184,137,9,11,1.02,Kukushkin M.,90.0,103,142,74,89,22,29,0,8,5.0,3161.0,76,84,4,6,17.0,0,0,0.0,2021
2021-02-08,Australian Open,Mager G.,96.0,8,10,3,4,0,2,0,0,6.0,1854.0,12,9,0,5,4.0,Karatsev A.,114.0,3,9,3,9,0,0,0,0,89.0,2401.0,5,4,0,0,1.25,0,0,1.0,2021
2021-02-08,Australian Open,Kecmanovic M.,41.0,41,36,29,27,4,7,0,2,3.0,2792.0,22,28,2,4,1.44,Majchrzak K.,109.0,4,11,3,6,2,5,0,1,5.0,1113.0,4,9,2,8,2.75,0,0,0.0,2021
2021-02-08,Australian Open,Zverev A.,7.0,238,115,138,69,46,21,12,5,80.0,17355.0,159,101,14,9,1.05,Giron M.,75.0,14,17,13,15,2,6,0,1,3.0,2473.0,12,11,2,0,11.0,0,0,0.0,2021
2021-02-08,Australian Open,Bublik A.,45.0,36,41,27,31,5,8,1,2,4.0,2114.0,32,35,2,0,2.0,Bedene A.,57.0,111,131,50,64,13,29,1,8,4.0,2519.0,83,88,5,1,1.8,0,1,0.0,2021
2021-02-08,Australian Open,Paire B.,29.0,188,196,104,117,36,29,5,7,102.0,2489.0,137,126,10,10,5.0,Gerasimov E.,79.0,26,21,26,19,3,4,1,1,3.0,3081.0,23,21,1,0,1.16,0,1,1.0,2021
2021-02-08,Australian Open,Duckworth J.,105.0,25,52,20,38,4,21,2,7,3.0,1547.0,34,40,4,8,1.36,Dzumhur D.,120.0,100,116,68,77,16,24,5,6,104.0,1251.0,59,55,4,3,3.2,1,0,0.0,2021
2021-02-08,Australian Open,Vesely J.,68.0,114,131,47,66,20,27,1,6,3.0,3169.0,91,104,4,4,1.25,Coppejans K.,178.0,0,9,0,4,0,2,0,0,6.0,698.0,0,6,0,0,4.0,0,0,0.0,2021
2021-02-08,Australian Open,Humbert U.,34.0,42,37,31,26,5,8,0,2,5.0,2380.0,35,31,1,2,1.14,Uchiyama Y.,106.0,6,14,6,12,0,4,0,1,8.0,1756.0,2,9,0,9,5.5,0,1,0.0,2021
2021-02-08,Australian Open,Londero J.I.,83.0,30,34,4,12,6,6,0,1,6.0,1628.0,21,24,2,7,2.0,Muller A.,210.0,0,3,0,1,0,2,0,0,6.0,1475.0,0,3,0,1,1.8,0,0,1.0,2021
2021-02-08,Australian Open,Carreno Busta P.,16.0,150,96,91,53,38,17,10,4,94.0,12250.0,100,76,6,3,1.33,Nishikori K.,42.0,293,124,186,78,79,27,21,6,131.0,2139.0,151,91,17,7,3.4,0,1,0.0,2021
2021-02-08,Australian Open,Travaglia S.,60.0,20,29,12,18,4,9,1,2,1.0,2358.0,18,27,1,6,3.75,Tiafoe F.,64.0,68,89,52,65,13,18,5,4,7.0,1843.0,65,63,2,6,1.28,0,0,1.0,2021
2021-02-08,Australian Open,Dimitrov G.,21.0,272,158,190,105,60,31,22,8,3.0,3098.0,168,150,8,8,1.5,Cilic M.,43.0,268,146,171,95,80,28,18,7,7.0,2275.0,188,129,15,9,2.62,2,3,0.0,2021
2021-02-08,Australian Open,Koepfer D.,70.0,11,14,5,9,5,5,0,1,7.0,1496.0,10,7,0,0,1.22,Dellien H.,112.0,12,24,1,6,2,6,0,1,6.0,1180.0,6,13,0,0,4.33,0,0,0.0,2021
2021-02-08,Australian Open,Lajovic D.,27.0,116,148,42,70,19,26,5,7,97.0,3211.0,71,105,1,12,1.36,Stakhovsky S.,200.0,63,93,36,54,14,20,1,4,5.0,1731.0,41,62,3,1,3.2,0,1,0.0,2021
2021-02-08,Australian Open,Auger-Aliassime F.,19.0,65,48,41,31,5,6,0,1,1.0,3830.0,52,37,0,0,1.12,Stebe C.M.,129.0,16,25,8,15,2,7,0,3,5.0,1359.0,5,11,0,9,6.0,0,0,0.0,2021
2021-02-08,Australian Open,Schwartzman D.,9.0,162,135,77,63,37,25,9,6,80.0,10425.0,92,88,6,10,1.04,Ymer E.,205.0,11,36,4,16,1,6,0,2,6.0,1304.0,16,13,0,1,13.0,1,0,0.0,2021
2021-02-08,Australian Open,Sugita Y.,104.0,43,70,25,44,4,14,2,3,5.0,2962.0,33,40,0,2,1.66,Tomic B.,233.0,129,131,82,77,26,25,10,6,356.0,619.0,104,100,5,7,2.2,0,0,1.0,2021
2021-02-08,Australian Open,Kyrgios N.,47.0,150,89,107,58,41,24,14,7,3.0,3025.0,137,94,6,5,1.14,Ferreira Silva F.,185.0,0,1,0,1,0,0,0,0,6.0,1284.0,0,0,0,0,5.5,0,0,0.0,2021
2021-02-08,Australian Open,Daniel T.,118.0,41,73,15,35,4,14,1,3,6.0,842.0,35,39,2,2,1.72,Cressy M.,172.0,1,2,1,2,1,1,0,0,6.0,1211.0,1,3,0,0,2.1,0,0,1.0,2021
2021-02-08,Australian Open,Djokovic N.,1.0,451,65,294,40,162,18,43,3,79.0,20955.0,196,88,14,7,1.01,Chardy J.,61.0,177,176,106,105,35,30,10,8,2.0,2539.0,145,133,8,1,26.0,7,0,0.0,2021
2021-02-08,Australian Open,Shapovalov D.,12.0,92,76,75,54,17,13,3,3,90.0,3602.0,60,69,2,4,1.5,Sinner J.,32.0,32,20,22,12,5,4,1,1,1.0,2358.0,17,13,0,7,2.62,0,0,0.0,2021
2021-02-09,Australian Open,Harris L.,91.0,19,27,17,21,3,8,0,2,8.0,1633.0,14,19,1,0,1.36,Torpegaard M.,188.0,1,2,1,2,0,0,0,0,6.0,2075.0,2,0,0,0,3.2,0,0,0.0,2021
2021-02-09,Australian Open,Cecchinato M.,82.0,48,85,10,34,7,14,0,3,8.0,1910.0,46,56,1,11,3.2,Mcdonald M.,192.0,24,39,16,29,6,9,2,3,6.0,715.0,18,18,1,2,1.36,0,0,1.0,2021
2021-02-09,Australian Open,Monteiro T.,74.0,40,56,9,19,4,10,0,2,3.0,1718.0,34,35,1,3,1.22,Martin A.,103.0,15,20,0,5,3,4,0,0,8.0,1502.0,11,14,0,0,4.33,0,0,0.0,2021
2021-02-09,Australian Open,Struff J.L.,37.0,131,154,79,83,18,28,1,6,29.0,2330.0,86,117,6,5,1.2,O Connell C.,121.0,2,2,2,2,1,1,0,0,6.0,1785.0,2,2,0,0,4.5,0,0,1.0,2021
2021-02-09,Australian Open,Coric B.,25.0,151,130,94,83,24,23,3,6,4.0,3444.0,97,97,4,6,1.12,Pella G.,44.0,103,112,35,51,18,23,3,6,131.0,3440.0,89,91,5,3,6.0,0,1,0.0,2021
2021-02-09,Australian Open,Alcaraz C.,141.0,3,2,2,1,0,0,0,0,5.0,1288.0,2,1,0,0,1.66,Van De Zandschulp B.,151.0,3,1,3,1,0,0,0,0,4.0,2668.0,4,1,0,0,2.2,0,0,0.0,2021
2021-02-09,Australian Open,Hurkacz H.,30.0,46,46,36,32,6,10,1,2,4.0,2629.0,33,35,1,5,1.22,Ymer M.,95.0,10,22,7,16,2,4,1,1,8.0,2336.0,6,14,0,5,4.33,1,0,1.0,2021
2021-02-09,Australian Open,Rublev A.,8.0,118,81,89,61,23,13,6,4,82.0,13044.0,69,66,3,6,1.01,Hanfmann Y.,102.0,15,16,0,3,0,2,0,0,7.0,1082.0,12,12,0,0,23.0,0,0,0.0,2021
2021-02-09,Australian Open,Goffin D.,15.0,238,162,156,106,52,29,13,7,6.0,3064.0,127,126,8,6,1.4,Popyrin A.,113.0,16,29,14,23,8,7,4,3,4.0,2891.0,25,19,0,2,3.0,0,0,1.0,2021
2021-02-09,Australian Open,Khachanov K.,20.0,130,103,81,70,31,16,6,4,3.0,3709.0,98,96,5,4,1.1,Vukic A.,196.0,1,3,1,2,0,1,0,0,6.0,1798.0,1,2,0,0,7.0,0,0,0.0,2021
2021-02-09,Australian Open,Bautista Agut R.,13.0,159,86,98,52,37,17,9,4,115.0,4686.0,84,80,4,4,1.05,Albot R.,85.0,64,96,40,61,10,19,1,3,8.0,1600.0,54,47,4,3,11.0,0,0,1.0,2021
2021-02-09,Australian Open,Cuevas P.,72.0,144,132,37,60,19,26,3,6,4.0,2662.0,98,114,3,2,1.66,Seppi A.,108.0,160,172,98,99,39,31,18,8,8.0,1557.0,119,122,11,3,2.2,1,1,0.0,2021
2021-02-09,Australian Open,Krajinovic F.,33.0,71,69,57,54,8,15,3,4,99.0,2581.0,40,51,4,2,1.22,Haase R.,197.0,132,165,66,90,11,28,1,7,6.0,1257.0,102,126,3,7,4.33,0,1,0.0,2021
2021-02-09,Australian Open,Andujar P.,59.0,84,121,24,60,10,21,1,6,7.0,1971.0,48,57,4,0,3.0,Halys Q.,207.0,6,22,5,14,2,9,1,4,7.0,1031.0,11,20,0,1,1.4,0,0,0.0,2021
2021-02-09,Australian Open,Berankis R.,73.0,66,97,57,66,12,26,4,6,4.0,1817.0,55,66,3,3,1.12,Nagal S.,144.0,1,8,1,6,1,2,0,0,8.0,1369.0,1,2,0,0,6.0,1,0,0.0,2021
2021-02-09,Australian Open,Medvedev D.,4.0,150,78,122,48,25,15,7,4,79.0,16095.0,79,54,0,3,1.04,Pospisil V.,63.0,103,124,83,89,15,26,4,5,87.0,2077.0,92,108,6,3,13.0,2,1,0.0,2021
2021-02-09,Australian Open,Lopez F.,65.0,198,166,105,103,38,31,8,8,8.0,1823.0,165,140,7,1,1.33,Tu L.,,0,1,0,1,0,0,0,0,8.0,,0,1,0,0,3.4,0,0,0.0,2021
2021-02-09,Australian Open,Sonego L.,35.0,37,45,11,19,6,9,1,2,8.0,1798.0,34,37,2,0,1.8,Querrey S.,52.0,184,155,118,106,37,30,9,8,6.0,1979.0,145,147,5,7,2.0,0,0,0.0,2021
2021-02-09,Australian Open,Basilashvili N.,40.0,92,107,55,64,16,20,5,5,6.0,1751.0,70,64,6,6,4.5,Paul T.,53.0,27,30,23,24,3,6,2,1,6.0,1711.0,15,21,1,2,1.2,0,0,1.0,2021
2021-02-09,Australian Open,Nadal R.,2.0,405,80,195,50,126,18,30,7,80.0,16820.0,151,90,7,5,1.01,Djere L.,56.0,52,56,7,28,4,12,0,3,9.0,1758.0,41,38,0,8,26.0,0,0,0.0,2021
2021-02-09,Australian Open,Caruso S.,78.0,16,26,9,14,4,6,0,2,5.0,2186.0,13,18,0,3,1.57,Laaksonen H.,139.0,27,41,13,22,3,6,1,1,7.0,1577.0,23,23,1,10,2.37,0,0,0.0,2021
2021-02-09,Australian Open,Mmoh M.,177.0,9,20,9,17,2,8,1,3,7.0,1252.0,6,11,0,7,1.66,Troicki V.,202.0,126,125,78,81,27,18,8,6,7.0,1142.0,85,81,9,1,2.2,0,0,0.0,2021
2021-02-09,Australian Open,De Minaur A.,23.0,77,51,71,36,16,13,3,3,27.0,2950.0,50,36,3,3,1.12,Sandgren T.,51.0,40,57,27,35,15,13,8,3,6.0,1946.0,38,47,5,4,6.0,0,0,0.0,2021
2021-02-09,Australian Open,Balazs A.,94.0,12,10,0,3,1,2,0,0,7.0,1243.0,7,9,0,0,8.0,Carballes Baena R.,99.0,52,63,9,16,5,11,0,2,8.0,1645.0,35,35,1,3,1.08,0,0,1.0,2021
2021-02-09,Australian Open,Evans D.,26.0,67,58,54,37,16,13,5,4,2.0,3830.0,52,46,1,8,1.4,Norrie C.,69.0,50,58,36,37,6,12,0,2,8.0,2015.0,36,40,1,1,3.0,0,0,1.0,2021
2021-02-09,Australian Open,Vilella Martinez M.,181.0,2,2,2,2,0,1,0,1,5.0,1430.0,2,1,0,0,2.75,Machac T.,199.0,0,2,0,1,0,1,0,0,7.0,1042.0,0,2,0,10,1.44,0,0,1.0,2021
2021-02-09,Australian Open,Fognini F.,17.0,244,172,102,89,41,30,12,8,30.0,3280.0,133,98,11,8,1.72,Herbert P.H.,84.0,79,98,51,67,16,21,5,5,6.0,1906.0,80,80,4,10,2.1,0,0,0.0,2021
2021-02-09,Australian Open,Ruud C.,28.0,50,48,6,22,8,9,1,2,6.0,2667.0,23,35,4,1,1.8,Thompson J.,49.0,53,72,37,48,11,21,3,7,4.0,1908.0,39,50,2,9,2.0,1,0,0.0,2021
2021-02-09,Australian Open,Kwon S.W.,97.0,14,17,14,15,1,6,0,2,6.0,2096.0,10,14,0,7,2.1,Kokkinakis T.,267.0,25,41,20,30,5,11,2,4,8.0,589.0,26,28,2,3,1.72,0,0,1.0,2021
2021-02-09,Australian Open,Berrettini M.,10.0,71,48,31,29,18,11,1,3,29.0,4175.0,50,48,3,1,1.33,Anderson K.,81.0,240,146,167,98,64,28,11,7,5.0,3070.0,193,146,12,11,3.4,0,0,0.0,2021
