Predicted prob,Predicted variance,Odds1,Odds2,Result
0.091704644,0.091704644,1.01,26.0,0.0
0.23728818,0.23728818,1.66,2.2,0.0
0.1657995,0.1657995,2.3,1.61,1.0
0.29469422,0.29469422,1.4,3.0,1.0
0.3491059,0.3491059,1.06,10.0,0.0
0.08961782,0.08961782,1.08,8.0,0.0
0.40670738,0.40670738,2.2,1.66,1.0
0.39745954,0.39745954,1.36,3.2,1.0
0.17879006,0.17879006,1.14,5.5,0.0
0.27246958,0.27246958,1.16,5.0,0.0
0.20112866,0.20112866,1.02,17.0,0.0
0.3738718,0.3738718,4.0,1.25,1.0
0.4574945,0.4574945,1.44,2.75,0.0
0.08219826,0.08219826,1.05,11.0,0.0
0.42611974,0.42611974,2.0,1.8,0.0
0.082428224,0.082428224,5.0,1.16,1.0
0.31178743,0.31178743,1.36,3.2,0.0
0.22010735,0.22010735,1.25,4.0,0.0
0.38012668,0.38012668,1.14,5.5,0.0
0.32794648,0.32794648,2.0,1.8,1.0
0.15464944,0.15464944,1.33,3.4,0.0
0.3693533,0.3693533,3.75,1.28,1.0
0.25040656,0.25040656,1.5,2.62,0.0
0.37561062,0.37561062,1.22,4.33,0.0
0.27171317,0.27171317,1.36,3.2,0.0
0.33374017,0.33374017,1.12,6.0,0.0
0.122423,0.122423,1.04,13.0,0.0
0.29458824,0.29458824,1.66,2.2,1.0
0.17802536,0.17802536,1.14,5.5,0.0
0.42547345,0.42547345,1.72,2.1,1.0
0.3194449,0.3194449,1.01,26.0,0.0
0.30056176,0.30056176,1.5,2.62,0.0
0.32266307,0.32266307,1.36,3.2,0.0
0.34899163,0.34899163,3.2,1.36,1.0
0.37160987,0.37160987,1.22,4.33,0.0
0.22277564,0.22277564,1.2,4.5,1.0
0.19948949,0.19948949,1.12,6.0,0.0
0.38133714,0.38133714,1.66,2.2,0.0
0.34128195,0.34128195,1.22,4.33,1.0
0.17857611,0.17857611,1.01,23.0,0.0
0.41506204,0.41506204,1.4,3.0,1.0
0.23023762,0.23023762,1.1,7.0,0.0
0.21588874,0.21588874,1.05,11.0,1.0
0.3299416,0.3299416,1.66,2.2,0.0
0.3341242,0.3341242,1.22,4.33,0.0
0.36688036,0.36688036,3.0,1.4,0.0
0.40919816,0.40919816,1.12,6.0,0.0
0.28286996,0.28286996,1.04,13.0,0.0
0.27463073,0.27463073,1.33,3.4,0.0
0.2957513,0.2957513,1.8,2.0,0.0
0.41130233,0.41130233,4.5,1.2,1.0
0.36892813,0.36892813,1.01,26.0,0.0
0.36220223,0.36220223,1.57,2.37,0.0
