Date,Tournament,Name1,Rank1,Wins1,Losses1,surfaceWins1,surfaceLosses1,bestOfWins1,bestOfLosses1,tournamentWins1,tournamentLosses1,Gap1,Length1,tbWins1,tbLoses1,deciderWins1,deciderLosses1,Odds1,Name2,Rank2,Wins2,Losses2,surfaceWins2,surfaceLosses2,bestOfWins2,bestOfLosses2,tournamentWins2,tournamentLosses2,Gap2,Length2,tbWins2,tbLoses2,deciderWins2,deciderLosses2,Odds2,h2h1,h2h2,Upset,Year
2021-05-30,French Open,Fognini F.,29.0,253,181,135,80,44,31,13,8,10.0,3071.0,139,98,12,8,1.25,Barrere G.,122.0,11,25,1,6,5,9,1,4,12.0,1805.0,15,18,1,3,4.0,0,0,0.0,2021
2021-05-30,French Open,Carreno Busta P.,12.0,162,102,63,42,40,18,13,5,19.0,4458.0,110,78,6,3,1.12,Gombos N.,81.0,17,33,6,6,3,7,2,1,3.0,1644.0,14,19,0,1,6.0,1,1,0.0,2021
2021-05-30,French Open,Gerasimov E.,79.0,33,30,1,5,4,5,0,1,6.0,1178.0,29,26,1,0,2.2,Couacaud E.,177.0,0,1,0,0,0,0,0,0,481.0,1334.0,0,0,0,0,1.66,0,0,1.0,2021
2021-05-30,French Open,Hanfmann Y.,96.0,20,22,15,13,0,3,0,1,31.0,2431.0,17,15,0,0,1.72,Laaksonen H.,150.0,27,44,14,19,3,7,1,2,12.0,1949.0,23,25,1,10,2.1,0,0,1.0,2021
2021-05-30,French Open,Bautista Agut R.,11.0,177,96,48,31,37,18,12,5,17.0,9170.0,95,88,4,4,1.12,Vilella Martinez M.,183.0,3,4,0,0,0,2,0,0,53.0,3005.0,3,3,0,0,6.0,0,0,0.0,2021
2021-05-30,French Open,Pella G.,61.0,104,119,61,56,18,24,5,6,12.0,3037.0,89,94,5,3,3.2,Galan D.,107.0,3,3,2,2,2,1,2,1,97.0,1167.0,0,1,1,0,1.36,0,0,0.0,2021
2021-05-30,French Open,Evans D.,27.0,74,67,8,14,16,14,0,3,20.0,4015.0,56,55,1,8,1.53,Kecmanovic M.,48.0,48,46,10,12,5,8,1,2,6.0,2230.0,27,34,2,4,2.5,0,0,1.0,2021
2021-05-30,French Open,Thiem D.,4.0,294,151,140,47,74,27,28,7,10.0,9760.0,188,140,10,11,1.1,Andujar P.,68.0,91,129,64,61,11,22,2,6,9.0,3435.0,53,61,4,0,7.0,3,0,1.0,2021
2021-05-30,French Open,Khachanov K.,25.0,141,113,39,31,33,17,13,4,8.0,3550.0,107,102,5,4,1.3,Vesely J.,71.0,117,136,50,54,21,28,5,8,4.0,2126.0,95,108,5,4,3.5,1,0,0.0,2021
2021-05-30,French Open,Fucsovics M.,44.0,81,82,22,26,16,15,4,3,11.0,1553.0,58,53,3,7,1.1,Simon G.,69.0,222,191,53,54,46,31,13,8,5.0,1771.0,138,126,9,1,7.0,0,1,0.0,2021
