Predicted prob,Predicted variance,Odds1,Odds2,Result
0.14533126,0.14533126,1.25,4.0,0.0
0.14279637,0.14279637,1.12,6.0,0.0
0.40313148,0.40313148,2.2,1.66,1.0
0.45132676,0.45132676,1.72,2.1,1.0
0.28771445,0.28771445,1.12,6.0,0.0
0.2977389,0.2977389,3.2,1.36,0.0
0.21966465,0.21966465,1.53,2.5,1.0
0.049462058,0.049462058,1.1,7.0,1.0
0.182868,0.182868,1.3,3.5,0.0
0.2464606,0.2464606,1.1,7.0,0.0
0.13042086,0.13042086,1.12,6.0,0.0
0.4889859,0.4889859,1.06,10.0,0.0
0.40456042,0.40456042,3.5,1.3,1.0
0.20283453,0.20283453,1.25,4.0,1.0
0.2751358,0.2751358,1.8,2.0,0.0
0.08536444,0.08536444,1.04,13.0,0.0
0.3263751,0.3263751,1.03,15.0,0.0
0.3687054,0.3687054,1.28,3.75,1.0
0.3865019,0.3865019,1.57,2.37,1.0
0.1548129,0.1548129,1.02,17.0,0.0
0.36145982,0.36145982,1.11,6.5,0.0
0.24340306,0.24340306,1.16,5.0,1.0
0.22861902,0.22861902,1.5,2.62,0.0
0.39133942,0.39133942,1.66,2.2,0.0
0.40638787,0.40638787,2.62,1.5,0.0
0.0674403,0.0674403,1.28,3.75,0.0
0.13735913,0.13735913,1.14,5.5,0.0
0.37462047,0.37462047,1.05,11.0,0.0
0.27028573,0.27028573,1.2,4.5,0.0
0.35982448,0.35982448,1.3,3.5,0.0
0.25968176,0.25968176,1.4,3.0,0.0
0.25601315,0.25601315,8.0,1.08,1.0
0.36218435,0.36218435,1.4,3.0,0.0
0.27719125,0.27719125,1.66,2.2,0.0
0.34589773,0.34589773,1.33,3.4,1.0
0.3903311,0.3903311,1.28,3.75,0.0
0.37124628,0.37124628,1.53,2.5,0.0
0.064007014,0.064007014,1.12,6.0,0.0
0.30516434,0.30516434,1.14,5.5,1.0
0.11822251,0.11822251,1.72,2.1,0.0
0.38100287,0.38100287,1.12,6.0,0.0
0.33330944,0.33330944,1.25,4.0,0.0
0.4345532,0.4345532,2.2,1.66,1.0
0.34781867,0.34781867,1.22,4.33,0.0
0.34619048,0.34619048,1.04,13.0,0.0
0.33459604,0.33459604,1.66,2.2,1.0
0.405908,0.405908,1.61,2.3,0.0
0.38783893,0.38783893,1.28,3.75,1.0
