Name1,Rank1,Wins1,Losses1,surfaceWins1,surfaceLosses1,bestOfWins1,bestOfLosses1,tournamentWins1,tournamentLosses1,Gap1,Length1,tbWins1,tbLoses1,deciderWins1,deciderLosses1,Odds1,Name2,Rank2,Wins2,Losses2,surfaceWins2,surfaceLosses2,bestOfWins2,bestOfLosses2,tournamentWins2,tournamentLosses2,Gap2,Length2,tbWins2,tbLoses2,deciderWins2,deciderLosses2,Odds2,h2h1,h2h2,Upset
Pospisil V.,44.0,55,57,41,40,46,46,2,1,2.0,1209.0,39,55,4,3,1.8,Baghdatis M.,51.0,43,49,32,32,33,38,2,1,2.0,1563.0,26,33,3,2,1.9,0,1,0.0
Lopez F.,17.0,97,66,52,38,74,54,0,0,22.0,16530.0,75,53,4,1,1.53,Zverev M.,248.0,9,10,4,6,9,10,2,1,1.0,770.0,8,11,0,0,2.37,0,0,0.0
Kukushkin M.,48.0,35,49,26,28,28,39,1,0,2.0,1151.0,27,32,1,5,1.25,Albot R.,107.0,2,6,1,4,2,4,1,0,2.0,1997.0,3,2,0,0,3.75,0,0,0.0
Dimitrov G.,19.0,111,58,64,38,90,46,0,0,29.0,2577.0,56,58,2,3,1.4,Sousa J.,47.0,65,73,36,40,57,62,6,1,1.0,1291.0,39,37,3,6,2.75,0,1,0.0
Ferrer D.,8.0,156,58,85,35,117,47,1,1,26.0,4995.0,69,51,3,2,1.18,Stepanek R.,278.0,36,40,16,19,29,29,1,0,2.0,592.0,19,31,2,1,4.5,0,0,0.0
Karlovic I.,18.0,83,60,47,39,74,50,1,0,2.0,2181.0,94,83,2,3,2.25,Kyrgios N.,41.0,30,23,13,12,13,13,2,1,2.0,1504.0,37,29,3,3,1.57,0,1,1.0
Lopez F.,17.0,98,66,53,38,75,54,1,0,1.0,2126.0,76,53,4,1,1.53,Pospisil V.,44.0,56,57,42,40,47,46,3,1,1.0,1890.0,40,55,4,3,2.37,0,0,0.0
Dimitrov G.,19.0,112,58,65,38,91,46,1,0,1.0,2551.0,56,58,2,3,1.2,Becker B.,74.0,45,65,33,46,38,53,4,1,2.0,2110.0,38,39,3,1,4.33,0,0,1.0
Ferrer D.,8.0,157,58,86,35,118,47,2,1,1.0,3862.0,70,51,3,2,1.25,Kukushkin M.,48.0,36,49,27,28,29,39,2,0,1.0,1420.0,27,32,1,5,3.75,4,0,0.0
Lopez F.,17.0,99,66,54,38,76,54,2,0,1.0,2930.0,76,54,4,1,2.2,Kyrgios N.,41.0,31,23,14,12,14,13,3,1,1.0,2655.0,39,29,3,3,1.66,1,0,0.0
Ferrer D.,8.0,158,58,87,35,119,47,3,1,1.0,4617.0,70,51,3,2,1.14,Becker B.,74.0,46,65,34,46,39,53,5,1,1.0,2275.0,39,39,3,1,5.5,0,0,0.0
Ferrer D.,8.0,159,58,88,35,120,47,4,1,1.0,4370.0,70,51,3,2,1.5,Lopez F.,17.0,100,66,55,38,77,54,3,0,1.0,2970.0,78,54,4,1,2.62,2,0,0.0
Duckworth J.,97.0,13,24,8,15,10,13,0,1,27.0,1265.0,19,18,3,1,1.9,Krajicek A.,128.0,5,10,4,6,4,9,0,0,25.0,2634.0,8,6,0,0,1.8,0,0,1.0
Millman J.,75.0,4,10,3,7,3,6,0,0,5.0,1826.0,2,3,0,3,2.37,Gulbis E.,81.0,81,60,48,34,69,49,0,0,6.0,1592.0,49,42,1,1,1.53,0,0,0.0
Istomin D.,60.0,76,73,46,48,65,62,0,0,4.0,2306.0,55,43,1,3,1.57,Rosol L.,80.0,63,74,31,43,55,62,0,0,26.0,1812.0,51,35,1,1,2.25,0,0,1.0
Mannarino A.,39.0,51,62,29,37,38,50,0,0,5.0,1772.0,26,39,1,5,1.4,Pouille L.,69.0,13,19,7,10,12,12,0,0,4.0,2195.0,13,9,0,6,2.75,1,0,0.0
Chung H.,58.0,7,9,5,6,6,7,0,0,26.0,6431.0,2,8,0,1,1.12,Wu D.,224.0,0,5,0,5,0,3,0,0,357.0,1548.0,1,5,0,0,6.0,0,0,0.0
Bai Y.,266.0,0,1,0,1,0,1,0,0,365.0,3927.0,0,0,0,0,1.4,Niki T.,340.0,0,0,0,0,0,0,0,0,1000.0,0,0,0,0,0,2.75,0,0,0.0
Vesely J.,40.0,33,45,14,18,27,35,0,0,24.0,3197.0,29,34,2,2,1.4,Zhang Ze,216.0,0,0,0,0,0,0,0,0,1000.0,0,0,0,0,0,2.75,0,0,0.0
Berankis R.,72.0,28,39,22,21,23,30,1,1,6.0,1375.0,23,29,2,2,1.18,Moriya H.,219.0,0,4,0,3,0,2,0,0,92.0,3834.0,0,5,0,0,4.5,0,0,1.0
Soeda G.,118.0,13,28,11,21,10,20,0,0,56.0,1655.0,11,13,1,0,1.33,Zhang Zh.,583.0,0,0,0,0,0,0,0,0,1000.0,0,0,0,0,0,3.25,0,0,1.0
