Predicted prob,Predicted variance,Odds1,Odds2,Result
0.32526574,0.32526574,1.28,3.5,0.0
0.16234694,0.16234694,1.72,2.0,1.0
0.19002669,0.19002669,1.4,2.75,0.0
0.35402253,0.35402253,1.72,2.0,0.0
0.4053753,0.4053753,1.57,2.25,0.0
0.22756012,0.22756012,1.8,1.9,0.0
0.38999295,0.38999295,1.57,2.25,0.0
0.35529327,0.35529327,1.44,2.62,1.0
0.3960615,0.3960615,1.4,2.75,1.0
0.25715464,0.25715464,1.72,2.0,1.0
0.4080788,0.4080788,1.44,2.62,0.0
0.1513358,0.1513358,1.22,4.0,0.0
0.12205774,0.12205774,1.44,2.62,0.0
0.34305257,0.34305257,1.3,3.4,0.0
0.2921863,0.2921863,2.2,1.66,1.0
0.267387,0.267387,1.8,2.0,1.0
0.25721556,0.25721556,1.28,3.75,1.0
0.28191635,0.28191635,1.9,1.9,1.0
0.28931892,0.28931892,2.3,1.61,1.0
0.2471322,0.2471322,1.3,3.5,1.0
0.45417428,0.45417428,1.25,4.0,0.0
0.13114235,0.13114235,1.44,2.62,0.0
0.40172216,0.40172216,2.1,1.66,0.0
0.4607748,0.4607748,1.66,2.1,1.0
0.4000564,0.4000564,1.61,2.2,1.0
0.1476339,0.1476339,1.36,3.0,1.0
0.42407084,0.42407084,1.72,2.0,0.0
0.15123986,0.15123986,1.66,2.1,0.0
0.34155425,0.34155425,1.44,2.62,0.0
0.16444598,0.16444598,1.36,3.0,0.0
0.13282952,0.13282952,1.25,3.75,0.0
0.31698263,0.31698263,1.44,2.62,0.0
0.21851948,0.21851948,1.66,2.1,0.0
0.14189164,0.14189164,1.4,2.75,0.0
0.37901613,0.37901613,2.1,1.66,1.0
0.31956,0.31956,2.62,1.44,1.0
0.2365587,0.2365587,1.22,4.0,0.0
0.39267242,0.39267242,1.72,2.0,1.0
0.07363575,0.07363575,2.0,1.72,1.0
0.19714427,0.19714427,1.16,5.0,0.0
0.40783134,0.40783134,2.2,1.61,0.0
0.3393357,0.3393357,1.44,2.62,0.0
0.31342226,0.31342226,1.53,2.37,1.0
0.31619707,0.31619707,1.28,3.5,0.0
0.15840542,0.15840542,1.33,3.25,0.0
0.36827514,0.36827514,2.0,1.8,0.0
0.24357392,0.24357392,1.12,6.0,1.0
0.4000692,0.4000692,1.36,3.2,0.0
0.37456957,0.37456957,2.0,1.8,1.0
0.39000276,0.39000276,1.44,2.75,1.0
0.18674548,0.18674548,2.0,1.8,1.0
0.28473574,0.28473574,2.1,1.72,0.0
